zhangxi,1114046,0,0.0,0.0,5.0,1.0,43.0,6.0,6.5,1.0,0.0,90.0
zhangxi,1114056,1,0.0,0.2,5.0,1.0,40.0,3.0,3.5,1.0,0.0,50.0
zhangxi,1114061,0,1.0,0.2,5.0,1.0,40.0,4.0,12.0,0.0,0.0,50.0
zhangxi,1114063,0,1.0,0.0,5.0,1.0,54.0,7.0,7.0,1.0,0.0,0.0
zhangxi,1114072,0,1.0,0.2,5.0,1.0,59.0,6.0,6.6,1.0,0.0,40.0
zhangxi,1114077,0,0.0,0.0,5.0,1.0,65.0,4.0,3.2,0.0,0.0,30.0
zhangxi,1114092,1,1.0,0.0,5.0,1.0,54.0,4.0,3.0,1.0,0.0,30.0
zhangxi,1114113,0,1.0,0.4,5.0,1.0,64.0,5.0,5.0,1.0,0.2,20.0
zhangxi,1114114,0,1.0,0.2,5.0,1.0,39.0,5.0,16.0,1.0,0.0,30.0
zhangxi,1114115,0,1.0,0.0,5.0,1.0,25.0,3.0,3.0,1.0,0.0,40.0
zhangxi,1114123,0,0.0,0.0,5.0,1.0,54.0,5.0,16.0,1.0,0.19999999,50.0
zhangxi,1114141,1,1.0,0.2,5.0,1.0,64.0,6.0,6.0,1.0,0.0,30.0
zhangxi,1114147,1,1.0,0.4,5.0,1.0,44.0,5.0,3.0,1.0,0.6,20.0
zhangxi,1114148,0,0.0,0.0,5.0,1.0,66.0,6.0,14.0,1.0,1.0,50.0
zhangxi,1114161,0,1.0,0.2,5.0,1.0,77.0,7.0,1.0,0.0,0.0,50.0
zhangxi,1114169,0,0.0,0.0,5.0,1.0,62.0,2.0,2.0,1.0,0.0,40.0
zhangxi,1114172,1,0.0,0.0,5.0,1.0,55.0,2.0,7.0,1.0,0.0,40.0
zhangxi,1114179,1,0.0,0.2,5.0,1.0,62.0,4.0,15.6,1.0,0.0,40.0
zhangxi,1114191,0,0.0,0.0,5.0,1.0,68.0,10.0,8.0,0.0,0.19999999,30.0
zhangxi,1114218,0,0.0,0.0,5.0,1.0,60.0,6.0,8.0,1.0,0.0,30.0
zhangxi,1114231,0,0.0,0.0,5.0,1.0,46.0,3.0,12.0,1.0,0.0,20.0
zhangxi,1114234,1,0.0,0.2,5.0,1.0,38.0,5.0,10.0,1.0,0.39999998,50.0
zhangxi,1114247,0,0.0,0.0,5.0,1.0,66.0,5.0,9.0,1.0,0.0,50.0
zhangxi,1114255,0,1.0,0.0,5.0,1.0,66.0,6.0,5.0,1.0,0.0,30.0
zhangxi,1114256,0,1.0,0.0,5.0,1.0,62.0,2.0,10.0,1.0,0.0,20.0
zhangxi,1114260,1,1.0,0.4,5.0,1.0,54.0,6.0,10.0,1.0,0.2,50.0
zhangxi,1114264,0,1.0,0.0,5.0,1.0,38.0,4.0,3.5,1.0,0.6,20.0
zhangxi,1114273,1,0.0,0.2,5.0,1.0,40.0,4.0,10.8,1.0,0.0,40.0
zhangxi,1114277,0,0.0,0.0,5.0,1.0,36.0,4.0,10.0,1.0,0.0,30.0
zhangxi,1114289,0,0.0,0.4,5.0,1.0,50.0,5.0,20.0,1.0,0.39999998,20.0
zhangxi,1114291,0,1.0,0.2,5.0,1.0,63.0,10.0,10.0,1.0,0.39999998,50.0
zhangxi,1114294,1,0.0,0.2,5.0,1.0,63.0,6.0,4.6,1.0,0.19999999,20.0
zhangxi,1114298,1,0.0,0.0,5.0,1.0,66.0,5.0,16.0,1.0,0.0,50.0
zhangxi,1114306,1,1.0,0.2,5.0,1.0,54.0,4.0,9.0,1.0,0.19999999,40.0
zhangxi,1114307,0,1.0,0.0,5.0,1.0,39.0,4.0,30.0,1.0,0.0,40.0
zhangxi,1114329,0,1.0,0.0,5.0,1.0,36.0,4.0,5.0,1.0,0.0,50.0
zhangxi,1114331,1,0.0,0.2,5.0,1.0,36.0,4.0,5.0,1.0,0.0,50.0
zhangxi,1114341,0,0.0,0.4,5.0,1.0,55.0,3.0,15.0,0.0,0.39999998,20.0
zhangxi,1114348,0,0.0,0.25,4.0,1.0,45.0,4.0,10.0,1.0,0.6,20.0
zhangxi,1114362,0,1.0,0.0,5.0,1.0,56.0,3.0,6.0,1.0,0.0,40.0
zhangxi,1114377,0,0.0,0.0,5.0,1.0,68.0,8.0,16.0,1.0,0.0,20.0
zhangxi,1114399,0,1.0,0.0,5.0,1.0,59.0,4.0,7.0,1.0,0.8,30.0
zhangxi,1114401,0,1.0,0.0,5.0,1.0,41.0,4.0,6.0,1.0,0.0,50.0
zhangxi,1114404,1,0.0,0.4,5.0,1.0,45.0,5.0,15.0,1.0,0.2,50.0
zhangxi,1114407,0,0.0,0.2,5.0,1.0,53.0,10.0,3.6,1.0,0.0,20.0
zhangxi,1114414,0,1.0,0.0,5.0,1.0,40.0,4.0,3.0,1.0,0.0,50.0
zhangxi,1114431,0,0.0,0.2,5.0,1.0,34.0,3.0,4.0,1.0,0.19999999,30.0
zhangxi,1114434,0,1.0,0.0,5.0,1.0,44.0,4.0,7.0,1.0,0.0,50.0
